domain,collected_data,owner
discreetencryption.com,metrics,cofense
docs-google.com,metrics,TitanHQ
docu-shares.com,metrics,phishingbox
document-share.services,metrics,phriendlyphishing
docusine.com,metrics,TitanHQ
drive-signin.org,metrics,rainnetworks
e-citrix.com,metrics,TitanHQ
e-compliants.com,metrics,TitanHQ
e-faax.com,metrics,TitanHQ
e-messsage.com,metrics,TitanHQ
e-outlook-online.com,metrics,TitanHQ
e-owa.com,metrics,TitanHQ
e-service.org,credentials,trendmicro
e-serviceparts.info,credentials,trendmicro
e-vpnn.com,metrics,TitanHQ
ecardalert.com,metrics,cofense
ecards.pictures,metrics,cofense
ecompliants.com,metrics,TitanHQ
edoctransfer.com,metrics,cofense
edufinancial.org,metrics,RedHerring
edupointonline.com,metrics,RedHerring
electronic-hr.com,metrics,huntress
emails-track.be,metrics,PhishingBox
emailsecuritychecker.org,metrics,infosecinstitute
emailtransaction.com,metrics,huntress
emesssages.com,metrics,TitanHQ
employee-portal.com,metrics,Phishingbox
employee-ratings.com,metrics,cofense
employee-services.org,metrics,huntress
employment-hr.com,metrics,phishingbox
encryptiaportal.net,metrics,rainnetworks
eonline-shopping.com,metrics,TitanHQ
eservicebits.com,credentials,trendmicro
evpnn.com,metrics,TitanHQ
ez-sendfile.net,metrics,rainnetworks
f1nancier.com,metrics,sibermate
facilities-communications.com,metrics,cofense
facture-rapide.fr,metrics,cofense
fakebookalerts.live,metrics,sophos
federalnewsmagazine.com,metrics,cofense
feedback-collect.com,metrics,huntress
fiinancier.fr,metrics,sibermate
filesharingnow.com,metrics,huntress
financ1er.fr,metrics,sibermate
financialadvicers.com,metrics,phishingbox
financialdept1.com,metrics,sibermate
financialdept1.de,metrics,sibermate
financialstaff.co.uk,metrics,sibermate
firmlegal.de,metrics,sibermate
forkandtablemag.com,metrics,cofense
formssation.life,credentials,Trendmicro
forupsite.com,credentials,trendmicro
fotocloud.net,metrics,cyberguru
fraud-assistance.com,metrics,huntress
freecloudapps.net,credentials,trendmicro
gdprlaw.co.uk,metrics,sibermate
globalinfohost.com,credentials,trendmicro
globalservices.ie,metrics,godeep
glooglonline.com,metrics,RedHerring
gmailonline.us,metrics,RedHerring
gohelpdesk.at,metrics,sibermate
gohelpdesk.au,metrics,sibermate
gohelpdesk.co.nz,metrics,sibermate
gohelpdesk.de,metrics,sibermate
gohelpdesk.id,metrics,sibermate
gohelpdesk.ie,metrics,sibermate
goninjio.com,metrics,rainnetworks
google-drive-invite.com,metrics,infosecinstitute
gov-services.com,metrics,proofpoint
governmentnotice.org,metrics,huntress
great-restaurant-deals.com,metrics,cofense
groupmailserver.au,metrics,sibermate
groupmailserver.co.uk,metrics,sibermate
grouponedeals.com,metrics,sibermate
he1pdesk.co.nz,metrics,sibermate
hellpdesk.at,metrics,sibermate
hellpdesk.de,metrics,sibermate
hellpdesk.net,metrics,sibermate
hellpdesk.net,metrics,usecure
helpnets.info,metrics,cybeready
hhelpdesk.co.uk,metrics,sibermate
hhelpdesk.ie,metrics,sibermate
highunion.net,metrics,RedHerring
hilfekunden.de,metrics,sibermate
hr-messages.com,metrics,SBS
humanres.co.nz,metrics,sibermate
humanres.co.uk,metrics,sibermate
humanres.ie,metrics,sibermate
humanres.in,metrics,sibermate
iinfoclient.fr,metrics,sibermate
infinite-campus.org,metrics,RedHerring
info-alert.net,metrics,outthink
infoclientehoy.com,metrics,sibermate
infosecinstitute.com,metrics,infosecinstitute
infosecurityshop.com,metrics,cofense
innermail.co.uk,metrics,sibermate
instalaciones-de-comunicacion.mx,metrics,cofense
internal-alerts.com,metrics,Fortra
internetservicetec.com,credentials,trendmicro
internetservicetech.com,credentials,trendmicro
invite-meeting.com,metrics,huntress
Iogmein.com,metrics,pii-protect
it-admingroup.com,metrics,TitanHQ
it-communications.com,metrics,TitanHQ
it-companyadmin.com,metrics,TitanHQ
it-securegroup.com,metrics,TitanHQ
it-securemail.com,metrics,TitanHQ
it-support-group.com,metrics,cofense
it-support.care,metrics,pii-protect
it5upport.co.uk,metrics,sibermate
itcentralprotect.net,metrics,outthink
ithelpdeskweb.co.uk,metrics,sibermate
ithilfen.de,metrics,sibermate
ithlpdesks.com,metrics,sibermate
itpatches.com,metrics,Seneca
itsecuremessages.com,metrics,cofense
itsecuritymessages.com,metrics,iag
itserverhosts.com,metrics,cofense
itsupp0rt.de,metrics,sibermate
itsupportorganization.com,metrics,cofense
itsupports.ie,metrics,sibermate
itsuppports.com,metrics,sibermate
kazaamcasheroo.com,metrics,cofense
keeper-secure.com,metrics,TitanHQ
konmune.de,metrics,Komm.one
kunden-unterstuzung.de,metrics,sibermate
linkedover.com,metrics,cofense
llnkedinc.com,metrics,PIIProtect
login.enterprises,metrics,elba
logineverification.com,metrics,pii-protect
loginprotect.net,metrics,tryriot
loginprotected.com,metrics,infosec
loginservice.cloud,metrics,hoxhunt
lucrativehiring.com,metrics,cofense
m365-microsoft.com,metrics,Fortra
mailbox-quota.com,metrics,huntress
manlinkscansecurity.com,metrics,man
marketingcrew.co.uk,metrics,sibermate
media-sharer.com,metrics,rainnetworks
member-services.info,metrics,pii-protect
mgamt.com,metrics,infosecinstitute
mgamt.com,metrics,securityiq
microloft.net,metrics,sibermate
microsoftsupport.us,metrics,RedHerring
microsoftsupport247.com,metrics,RedHerring
mlcrosoft.live,metrics,pii-protect
multi-factor.link,metrics,hoxhunt
my-it-solution.net,metrics,infosecinstitute
mycartcheck-out.com,metrics,rainnetworks
mycorporate-rewards.com,metrics,cofense
mypasschange.com,metrics,rainnetworks
myportalonline.org,metrics,rainnetworks
net-link-secure.com,metrics,rainnetworks
news-article.com,metrics,huntress
norpl.co,metrics,cyberlift
notificationservices.org,metrics,huntress
notificationservices.org,metrics,mycurricula
notifyhubss.net,metrics,cybeready
notifyservice24.net,metrics,outthink
onlinbanking.at,metrics,sibermate
onlinbanking.de,metrics,sibermate
onlineservicefree.club,credentials,trendmicro
onlineservicefree.website,credentials,trendmicro
onlineservicegroup.net,credentials,trendmicro
onlineservicenetwork.com,credentials,trendmicro
onlineservicetec.com,credentials,trendmicro
onlineservicetech.com,credentials,trendmicro
onlineservicetech.website,credentials,trendmicro
opsupportsystems.com,metrics,cofense
order-processed.com,metrics,TitanHQ
orders-processed.com,metrics,TitanHQ
packagetrackingportal.com,metrics,pii-protect
passlink-secure.com,metrics,rainnetworks
passwordsnotification.com,metrics,huntress
payment-process.com,metrics,huntress
pcsupport.fr,metrics,sibermate
peoplesoftsdcoe.com,metrics,RedHerring
perdida-de-seguimiento-del-paquete.mx,metrics,cofense
pessoleldept.com,metrics,sibermate
phishing.guru,metrics,knowbe4
pii-protect.com,metrics,pii-protect
postofficeweb.com,metrics,Ironscales
printerhelpdesk.net,metrics,cofense
recusos-humanos.com,metrics,sibermate
remote-otp.com,metrics,cyberguru
ressourceshumains.com,metrics,sibermate
safebank.onl,metrics,cofense
safemessaging.org,metrics,infosecinstitute
sandiegocoe.net,metrics,RedHerring
schoolunified.net,metrics,RedHerring
sdc0e.net,metrics,RedHerring
sdcoes.net,metrics,RedHerring
sdcounty.net,metrics,RedHerring
secure-confirm.com,metrics,outthink
secure-investments.net,metrics,iag
secure-paymentlink-auth.com,metrics,rainnetworks
secure-scores.co,metrics,rainnetworks
secure-servicecheck.com,metrics,outthink
secureaccess.biz,metrics,pii-protect
securebankinggroup.org,metrics,cofense
securegateway-access.com,metrics,rainnetworks
securelinkedin.com,metrics,huntress
securelinkedin.com,metrics,mycurricula
security-reminders.com,metrics,pii-protect
security-unauthorised-request.com,metrics,phriendlyphishing
security-updater.com,metrics,huntress
securityawareness.cc,metrics,infosecinstitute
securitydirectapp.com,metrics,outthink
securitynotifications.org,metrics,huntress
securityresponse.org,metrics,phriendlyphishing
sendfiend.com,metrics,securepractice
servicecounty.net,metrics,RedHerring
sfcoe.net,metrics,RedHerring
sfcoe.org,metrics,RedHerring
sfusds.net,metrics,RedHerring
signin.broker,metrics,hoxhunt
singlesignon.ie,metrics,sibermate
singlesignon.ie,metrics,usecure.io
siteserversolutions.com,credentials,trendmicro
softwareupdates.com.sg,metrics,iag
solutionfun.info,credentials,trendmicro
solutionfun.services,credentials,trendmicro
sso-security.com,metrics,hoxhunt
storage-limit.com,metrics,TitanHQ
sup0rt.co.uk,metrics,sibermate
sup0rt.ie,metrics,sibermate
suport.ie,metrics,sibermate
suporte-admin.com.br,metrics,wunder
supp0rt.ca,metrics,sibermate
supp0rt.co.nz,metrics,sibermate
supp0rt.co.za,metrics,sibermate
support-interne.org,metrics,Fortra
supportonline24.com,metrics,outthink
technischeuntersttzung.de,metrics,sibermate
teieperformance.com,metrics,cyberdise
theteamsapp.com,metrics,UnionEntities
timeforsurveys.com,metrics,cofense
tinylink.eu,metrics,cofense
tracehack.pro,metrics,infosecinstitute
travelalrets.com,metrics,cofense
trustedentity.com,metrics,phriendlyphishing
uniondistrict.net,metrics,RedHerring
updateantivir.us,metrics,iag
updatedirect.net,metrics,outthink
urlscannerfireeye.com,metrics,man
usbank.news,metrics,sibermate
usbank.website,metrics,sibermate
uspost.online,metrics,sibermate
uspost.store,metrics,sibermate
verifytoken.com,metrics,cofense
webaccess-alert.com,metrics,cofense
webaccess-email.com,metrics,cofense
webaccess-email.mx,metrics,cofense
webaccess-email.org,metrics,cofense
webadmin-email.net,metrics,cofense
webfun.website,credentials,trendmicro
websitefun.info,credentials,trendmicro
yahoooo.at,metrics,sibermate
yahoooo.info,metrics,sibermate
yourserver.email,metrics,dcoya
zqa.ca,metrics,infosecinstitute
