domain,collected_data,owner
coupon-offer.net,metrics,holmsecurity
credit-card-safetyorg.com,metrics,holmsecurity
credit-card-safetyorg2.com,metrics,holmsecurity
cs-portalintranet.com,metrics,cybsafe
csatsafety-.org,metrics,rainnetworks
ctateachers.net,metrics,RedHerring
current-news-alerts.com,metrics,cofense
customer-portal.info,metrics,pii-protect
cyberlift.ai,metrics,cyberlift
data-safe.cc,metrics,infosecinstitute
databoxonline.com,metrics,huntress
delivery-details.com,metrics,TitanHQ
delivery-status.org,metrics,holmsecurity
deliverypack.net,metrics,holmsecurity
deliverypackage.net,metrics,holmsecurity
digital-service.info,metrics,holmsecurity
digitalsolution.info,metrics,holmsecurity
direct-auth.org,metrics,holmsecurity
direct-auth.org,metrics,nettvett
discontcomputers.com,metrics,cofense
discreetencryption.com,metrics,cofense
docs-google.com,metrics,TitanHQ
docu-shares.com,metrics,phishingbox
document-share.services,metrics,phriendlyphishing
docusine.com,metrics,TitanHQ
drive-signin.org,metrics,rainnetworks
e-citrix.com,metrics,TitanHQ
e-compliants.com,metrics,TitanHQ
e-faax.com,metrics,TitanHQ
e-messsage.com,metrics,TitanHQ
e-outlook-online.com,metrics,TitanHQ
e-owa.com,metrics,TitanHQ
e-service.org,credentials,trendmicro
e-serviceparts.info,credentials,trendmicro
e-vpnn.com,metrics,TitanHQ
ecardalert.com,metrics,cofense
ecards.pictures,metrics,cofense
ecompliants.com,metrics,TitanHQ
edoctransfer.com,metrics,cofense
edufinancial.org,metrics,RedHerring
edupointonline.com,metrics,RedHerring
electronic-hr.com,metrics,huntress
email-microsoft.com,metrics,hoxhunt
emails-track.be,metrics,PhishingBox
emailsecuritychecker.org,metrics,infosecinstitute
emailtransaction.com,metrics,huntress
emesssages.com,metrics,TitanHQ
employee-portal.com,metrics,Phishingbox
employee-ratings.com,metrics,cofense
employee-services.org,metrics,huntress
employment-hr.com,metrics,phishingbox
encryptiaportal.net,metrics,rainnetworks
eonline-shopping.com,metrics,TitanHQ
eservicebits.com,credentials,trendmicro
evpnn.com,metrics,TitanHQ
ez-sendfile.net,metrics,rainnetworks
f1nancier.com,metrics,sibermate
facilities-communications.com,metrics,cofense
facture-rapide.fr,metrics,cofense
fakebookalerts.live,metrics,sophos
federalnewsmagazine.com,metrics,cofense
feedback-collect.com,metrics,huntress
fiinancier.fr,metrics,sibermate
filesharingnow.com,metrics,huntress
financ1er.fr,metrics,sibermate
financialadvicers.com,metrics,phishingbox
financialalertsystem.com,metrics,infosec
financialdept1.com,metrics,sibermate
financialdept1.de,metrics,sibermate
financialstaff.co.uk,metrics,sibermate
firmlegal.de,metrics,sibermate
fnxx.info,metrics,cybeready
forkandtablemag.com,metrics,cofense
formssation.life,credentials,Trendmicro
forupsite.com,credentials,trendmicro
fotocloud.net,metrics,cyberguru
fraud-assistance.com,metrics,huntress
freecloudapps.net,credentials,trendmicro
gdprlaw.co.uk,metrics,sibermate
globalinfogov.net,metrics,holmsecurity
globalinfohost.com,credentials,trendmicro
globalservices.ie,metrics,godeep
glooglonline.com,metrics,RedHerring
gmailonline.us,metrics,RedHerring
gohelpdesk.at,metrics,sibermate
gohelpdesk.au,metrics,sibermate
gohelpdesk.co.nz,metrics,sibermate
gohelpdesk.de,metrics,sibermate
gohelpdesk.id,metrics,sibermate
gohelpdesk.ie,metrics,sibermate
goninjio.com,metrics,rainnetworks
google-drive-invite.com,metrics,infosecinstitute
gov-int.info,metrics,holmsecurity
gov-services.com,metrics,proofpoint
gov2.info,metrics,holmsecurity
governmentnotice.org,metrics,huntress
govinfotech.net,metrics,holmsecurity
govintonline.com,metrics,holmsecurity
govsinfo.org,metrics,holmsecurity
great-restaurant-deals.com,metrics,cofense
groupmailserver.au,metrics,sibermate
groupmailserver.co.uk,metrics,sibermate
grouponedeals.com,metrics,sibermate
he1pdesk.co.nz,metrics,sibermate
healthy-portal.net,metrics,holmsecurity
hellpdesk.at,metrics,sibermate
hellpdesk.de,metrics,sibermate
hellpdesk.net,metrics,sibermate
hellpdesk.net,metrics,usecure
help-desk-it.com,metrics,holmsecurity
helpnets.info,metrics,cybeready
hhelpdesk.co.uk,metrics,sibermate
hhelpdesk.ie,metrics,sibermate
highunion.net,metrics,RedHerring
hilfekunden.de,metrics,sibermate
hoimsecurity.com,metrics,holmsecurity
hr-messages.com,metrics,SBS
human-resources.services,metrics,Fortra
humanres.co.nz,metrics,sibermate
humanres.co.uk,metrics,sibermate
humanres.ie,metrics,sibermate
humanres.in,metrics,sibermate
iinfoclient.fr,metrics,sibermate
infinite-campus.org,metrics,RedHerring
info-alert.net,metrics,outthink
info-tickets.net,metrics,holmsecurity
infoclientehoy.com,metrics,sibermate
infosecinstitute.com,metrics,infosecinstitute
infosecurityshop.com,metrics,cofense
innermail.co.uk,metrics,sibermate
instalaciones-de-comunicacion.mx,metrics,cofense
insurance-my-health.com,metrics,holmsecurity
internal-alerts.com,metrics,Fortra
internal-helpdesk-it.com,metrics,holmsecurity
internalportal.net,metrics,Knowbe4
internetservicetec.com,credentials,trendmicro
internetservicetech.com,credentials,trendmicro
invite-meeting.com,metrics,huntress
invoice-viewer.net,metrics,holmsecurity
Iogmein.com,metrics,pii-protect
it-admingroup.com,metrics,TitanHQ
it-communications.com,metrics,TitanHQ
it-companyadmin.com,metrics,TitanHQ
it-securegroup.com,metrics,TitanHQ
it-securemail.com,metrics,TitanHQ
it-support-group.com,metrics,cofense
it-support.care,metrics,pii-protect
it5upport.co.uk,metrics,sibermate
itaidhelp.net,metrics,holmsecurity
itcentralprotect.net,metrics,outthink
itdepartment.services,metrics,Fortra
itdesk-services.com,metrics,holmsecurity
itdesk-services.org,metrics,holmsecurity
itdeskservices.com,metrics,holmsecurity
ithelpdesksupport.info,metrics,holmsecurity
ithelpdeskweb.co.uk,metrics,sibermate
ithelphelp.com,metrics,holmsecurity
ithilfen.de,metrics,sibermate
ithlpdesks.com,metrics,sibermate
itonlineservice.net,metrics,holmsecurity
itpatches.com,metrics,Seneca
itsecuremessages.com,metrics,cofense
itsecuritymessages.com,metrics,iag
itserverhosts.com,metrics,cofense
itservicehub.org,metrics,holmsecurity
itsupp0rt.de,metrics,sibermate
itsupportorganization.com,metrics,cofense
itsupports.ie,metrics,sibermate
itsuppports.com,metrics,sibermate
kazaamcasheroo.com,metrics,cofense
keeper-secure.com,metrics,TitanHQ
konmune.de,metrics,Komm.one
kunden-unterstuzung.de,metrics,sibermate
linkedover.com,metrics,cofense
llnkedinc.com,metrics,PIIProtect
login.enterprises,metrics,elba
logineverification.com,metrics,pii-protect
loginprotect.net,metrics,tryriot
loginprotected.com,metrics,infosec
loginservice.cloud,metrics,hoxhunt
lucrativehiring.com,metrics,cofense
luxmed-lekarz.pl,metrics,holmsecurity
m365-microsoft.com,metrics,Fortra
mailbox-quota.com,metrics,huntress
manlinkscansecurity.com,metrics,man
marketingcrew.co.uk,metrics,sibermate
media-sharer.com,metrics,rainnetworks
medicoversort.pl,metrics,holmsecurity
member-services.info,metrics,pii-protect
mgamt.com,metrics,infosecinstitute
mgamt.com,metrics,securityiq
micrasoft.me,metrics,proofpoint
micro-serviced.com,metrics,holmsecurity
microloft.net,metrics,sibermate
microsoftsupport.us,metrics,RedHerring
microsoftsupport247.com,metrics,RedHerring
mlcrosoft.live,metrics,pii-protect
mobilebill.info,metrics,holmsecurity
multi-factor.link,metrics,hoxhunt
multibenefitsystem.pl,metrics,holmsecurity
my-auth.com,metrics,holmsecurity
my-gov-info.net,metrics,holmsecurity
my-health-cert-online.com,metrics,holmsecurity
my-it-solution.net,metrics,infosecinstitute
my-package-online.com,metrics,holmsecurity
my-social-profile.info,metrics,holmsecurity
mycareinfo.org,metrics,holmsecurity
mycartcheck-out.com,metrics,rainnetworks
mycorporate-rewards.com,metrics,cofense
mygovhealth.org,metrics,holmsecurity
myhealthmedical.info,metrics,holmsecurity
myinvoices.info,metrics,holmsecurity
mymoneypayment.info,metrics,holmsecurity
mypasschange.com,metrics,rainnetworks
myportalonline.org,metrics,rainnetworks
mytraveltickets.info,metrics,holmsecurity
net-link-secure.com,metrics,rainnetworks
news-article.com,metrics,huntress
norpl.co,metrics,cyberlift
notifications-iqeq.com,credentials,lucysecurity
notificationservices.org,metrics,mycurricula
notifyhubss.net,metrics,cybeready
notifyservice24.net,metrics,outthink
offer-promo.net,metrics,holmsecurity
offices-support.com,metrics,Fortra
one-secure-login.com,metrics,holmsecurity
onlinbanking.at,metrics,sibermate
onlinbanking.de,metrics,sibermate
online-sso-auth.com,metrics,holmsecurity
onlineserve.net,metrics,holmsecurity
onlineservicefree.club,credentials,trendmicro
onlineservicefree.website,credentials,trendmicro
onlineservicegroup.net,credentials,trendmicro
onlineserviceinternet.com,metrics,holmsecurity
onlineservicenetwork.com,credentials,trendmicro
onlineservicetec.com,credentials,trendmicro
onlineservicetech.com,credentials,trendmicro
onlineservicetech.website,credentials,trendmicro
opsupportsystems.com,metrics,cofense
order-processed.com,metrics,TitanHQ
orders-processed.com,metrics,TitanHQ
packagetrackingportal.com,metrics,pii-protect
parcel-status.net,metrics,holmsecurity
passlink-secure.com,metrics,rainnetworks
passwordsnotification.com,metrics,huntress
payment-process.com,metrics,huntress
paymentmoney.net,metrics,holmsecurity
pchelpsupport.org,metrics,holmsecurity
pcsupport.fr,metrics,sibermate
peoplesoftsdcoe.com,metrics,RedHerring
perdida-de-seguimiento-del-paquete.mx,metrics,cofense
pessoleldept.com,metrics,sibermate
phishing.guru,metrics,knowbe4
pii-protect.com,metrics,pii-protect
postofficeweb.com,metrics,Ironscales
ppk-plany.pl,metrics,holmsecurity
premium-subscribr.com,metrics,holmsecurity
printerhelpdesk.net,metrics,cofense
process-my-payment.net,metrics,holmsecurity
promooffer.net,metrics,holmsecurity
promotionaloffer.net,metrics,holmsecurity
receiptfinances.com,metrics,holmsecurity
recurlyhub.com,metrics,holmsecurity
recusos-humanos.com,metrics,sibermate
remote-otp.com,metrics,cyberguru
ressourceshumains.com,metrics,sibermate
rricrosoft-office.org,metrics,Fortra
safebank.onl,metrics,cofense
safemessaging.org,metrics,infosecinstitute
sandiegocoe.net,metrics,RedHerring
schoolunified.net,metrics,RedHerring
sdc0e.net,metrics,RedHerring
sdcoes.net,metrics,RedHerring
sdcounty.net,metrics,RedHerring
secure-confirm.com,metrics,outthink
secure-investments.net,metrics,iag
secure-paymentlink-auth.com,metrics,rainnetworks
secure-scores.co,metrics,rainnetworks
secure-servicecheck.com,metrics,outthink
secureaccess.biz,metrics,pii-protect
securebankinggroup.org,metrics,cofense
securegateway-access.com,metrics,rainnetworks
securelinkedin.com,metrics,huntress
securelinkmails.com,metrics,Sensiphish
security-governances.com,metrics,Fortra
security-reminders.com,metrics,pii-protect
security-unauthorised-request.com,metrics,phriendlyphishing
security-updater.com,metrics,huntress
securityawareness.cc,metrics,infosecinstitute
securitydirectapp.com,metrics,outthink
securitynotifications.org,metrics,huntress
securityresponse.org,metrics,phriendlyphishing
sendfiend.com,metrics,securepractice
sentineledgesec.com,metrics,holmsecurity
servernotification.events,metrics,phriendlyphishing
servicecounty.net,metrics,RedHerring
sfcoe.net,metrics,RedHerring
sfcoe.org,metrics,RedHerring
sfusds.net,metrics,RedHerring
share-social.info,metrics,holmsecurity
sharedsocial.net,metrics,holmsecurity
shippingpack.info,metrics,holmsecurity
shippingpack.net,metrics,holmsecurity
signin.broker,metrics,hoxhunt
singlesignon.ie,metrics,sibermate
singlesignon.ie,metrics,usecure.io
siteserversolutions.com,credentials,trendmicro
socialsharing.info,metrics,holmsecurity
softwareupdates.com.sg,metrics,iag
solutionfun.info,credentials,trendmicro
solutionfun.services,credentials,trendmicro
specialofferdeal.com,metrics,holmsecurity
sprawdzppk.pl,metrics,holmsecurity
sso-app-sign-in.com,metrics,holmsecurity
sso-security.com,metrics,hoxhunt
statusdelivery.net,metrics,holmsecurity
storage-limit.com,metrics,TitanHQ
subscrib.club,metrics,holmsecurity
subscribit-now.com,metrics,holmsecurity
substacking.com,metrics,holmsecurity
sup0rt.co.uk,metrics,sibermate
sup0rt.ie,metrics,sibermate
suport.ie,metrics,sibermate
suporte-admin.com.br,metrics,wunder
supp0rt.ca,metrics,sibermate
supp0rt.co.nz,metrics,sibermate
supp0rt.co.za,metrics,sibermate
support-interne.org,metrics,Fortra
supportithelp.net,metrics,holmsecurity
supportonline24.com,metrics,outthink
systemauthentic.com,metrics,holmsecurity
teams-meeting-notify.com,metrics,ironscales
technischeuntersttzung.de,metrics,sibermate
teieperformance.com,metrics,cyberdise
thehealthportal.info,metrics,holmsecurity
theteamsapp.com,metrics,UnionEntities
ticketshome.info,metrics,holmsecurity
timeforsurveys.com,metrics,cofense
tinylink.eu,metrics,cofense
tokenvalidate.com,metrics,phishme
tracehack.pro,metrics,infosecinstitute
train-tickets-now.com,metrics,holmsecurity
travelalrets.com,metrics,cofense
trustedentity.com,metrics,phriendlyphishing
twoja-kwarantanna.pl,metrics,holmsecurity
uniondistrict.net,metrics,RedHerring
universalgov.info,metrics,holmsecurity
updateantivir.us,metrics,iag
updatedirect.net,metrics,outthink
urlscannerfireeye.com,metrics,man
usbank.news,metrics,sibermate
usbank.website,metrics,sibermate
uspost.online,metrics,sibermate
uspost.store,metrics,sibermate
verifytoken.com,metrics,cofense
webaccess-alert.com,metrics,cofense
webaccess-email.com,metrics,cofense
webaccess-email.mx,metrics,cofense
webaccess-email.org,metrics,cofense
webadmin-email.net,metrics,cofense
webfun.website,credentials,trendmicro
websitefun.info,credentials,trendmicro
yahoooo.at,metrics,sibermate
yahoooo.info,metrics,sibermate
yauths.com,metrics,holmsecurity
yourdigital.info,metrics,holmsecurity
youritservice.net,metrics,holmsecurity
youronlineservice.net,metrics,holmsecurity
yourserver.email,metrics,dcoya
zerotrust-nexus.com,metrics,holmsecurity
zqa.ca,metrics,infosecinstitute
